Año,Fecha (dd/mm/aaaa),Moneda,Continente,Id Moneda,Tipo de cambio,Tipo de tasa,Valor
2010,2010-11-15,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,806"
2010,2010-11-15,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,807999"
2010,2010-11-15,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"662,89529"
2010,2010-11-15,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"663,59942"
2010,2010-11-15,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7216"
2010,2010-11-15,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7221"
2010,2010-11-15,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1080,89541"
2010,2010-11-15,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1081,58689"
2010,2010-11-16,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,809"
2010,2010-11-16,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,81"
2010,2010-11-16,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"662,42348"
2010,2010-11-16,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"662,8907"
2010,2010-11-16,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,728799"
2010,2010-11-16,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7294"
2010,2010-11-16,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1076,33283"
2010,2010-11-16,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1077,08236"
2010,2010-11-17,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,81"
2010,2010-11-17,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,811999"
2010,2010-11-17,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"668,7091"
2010,2010-11-17,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"669,590739"
2010,2010-11-17,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7248"
2010,2010-11-17,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7254"
2010,2010-11-17,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1089,84003"
2010,2010-11-17,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1090,8801"
2010,2010-11-18,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,805"
2010,2010-11-18,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,806"
2010,2010-11-18,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"668,307189"
2010,2010-11-18,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"668,909089"
2010,2010-11-18,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,712"
2010,2010-11-18,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7128"
2010,2010-11-18,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1094,856369"
2010,2010-11-18,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1095,96378"
2010,2010-11-19,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,805"
2010,2010-11-19,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,806"
2010,2010-11-19,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"664,818239"
2010,2010-11-19,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"665,29411"
2010,2010-11-19,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7197"
2010,2010-11-19,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,720499"
2010,2010-11-19,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1084,2662"
2010,2010-11-19,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1085,1602"
2010,2010-11-20,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,805"
2010,2010-11-20,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,806"
2010,2010-11-20,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"668,07911"
2010,2010-11-20,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"668,855609"
2010,2010-11-20,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7197"
2010,2010-11-20,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,720499"
2010,2010-11-20,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1089,584419"
2010,2010-11-20,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1090,96935"
2010,2010-11-21,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,805"
2010,2010-11-21,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,806"
2010,2010-11-21,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"668,07911"
2010,2010-11-21,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"668,855609"
2010,2010-11-21,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,7197"
2010,2010-11-21,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,720499"
2010,2010-11-21,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Compra,"1089,584419"
2010,2010-11-21,Real brasileño,AMERICA,BRL,Pesos colombianos por cada moneda,Venta,"1090,96935"
2010,2010-11-22,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Compra,"2,81"
2010,2010-11-22,Nuevo Sol peruano,AMERICA,PEN,Moneda por cada dólar estadounidense,Venta,"2,811"
2010,2010-11-22,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Compra,"666,890779"
2010,2010-11-22,Nuevo Sol peruano,AMERICA,PEN,Pesos colombianos por cada moneda,Venta,"667,66548"
2010,2010-11-22,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Compra,"1,721"
2010,2010-11-22,Real brasileño,AMERICA,BRL,Moneda por cada dólar estadounidense,Venta,"1,7218"
